character_id,character,link,image_path,github_image_url
15.0,Charles Montgomery Burns,https://simpsons.fandom.com/es/wiki/Charles_Montgomery_Burns,simpsons_images\Charles_Montgomery_Burns.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Charles_Montgomery_Burns.png
105.0,Maggie Simpson,https://simpsons.fandom.com/es/wiki/Maggie_Simpson,simpsons_images\Maggie_Simpson.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Maggie_Simpson.png
442.0,Professor Frink,https://simpsons.fandom.com/es/wiki/Professor_Frink,simpsons_images\Professor_Frink.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Professor_Frink.png
71.0,Clancy Wiggum,https://simpsons.fandom.com/es/wiki/Clancy_Wiggum,simpsons_images\Clancy_Wiggum.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Clancy_Wiggum.png
332.0,Julius Hibbert,https://simpsons.fandom.com/es/wiki/Julius_Hibbert,simpsons_images\Julius_Hibbert.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Julius_Hibbert.png
101.0,Nelson Muntz,https://simpsons.fandom.com/es/wiki/Nelson_Muntz,simpsons_images\Nelson_Muntz.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Nelson_Muntz.png
22.0,Selma Bouvier,https://simpsons.fandom.com/es/wiki/Selma_Bouvier,simpsons_images\Selma_Bouvier.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Selma_Bouvier.png
5.0,Todd Flanders,https://simpsons.fandom.com/es/wiki/Todd_Flanders,simpsons_images\Todd_Flanders.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Todd_Flanders.png
351.0,Blue-Haired Lawyer,https://simpsons.fandom.com/es/wiki/Blue-Haired_Lawyer,simpsons_images\Blue-Haired_Lawyer.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Blue-Haired_Lawyer.png
944.0,Captain Horatio McCallister,https://simpsons.fandom.com/es/wiki/Captain_Horatio_McCallister,simpsons_images\Captain_Horatio_McCallister.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Captain_Horatio_McCallister.png
,Dave Shutton,https://simpsons.fandom.com/es/wiki/Dave_Shutton,simpsons_images\Dave_Shutton.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Dave_Shutton.png
349.0,Dr. Nick Riviera,https://simpsons.fandom.com/es/wiki/Dr._Nick_Riviera,simpsons_images\Dr._Nick_Riviera.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Dr._Nick_Riviera.png
,Eleanor Abernathy,https://simpsons.fandom.com/es/wiki/Eleanor_Abernathy,simpsons_images\Eleanor_Abernathy.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Eleanor_Abernathy.png
,Gary,https://simpsons.fandom.com/es/wiki/Gary,simpsons_images\Gary.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Gary.png
,Herbert Powell,https://simpsons.fandom.com/es/wiki/Herbert_Powell,simpsons_images\Herbert_Powell.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Herbert_Powell.png
,Jeremy Freedman,https://simpsons.fandom.com/es/wiki/Jeremy_Freedman,simpsons_images\Jeremy_Freedman.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Jeremy_Freedman.png
145.0,Kearney Zzyzwicz,https://simpsons.fandom.com/es/wiki/Kearney_Zzyzwicz,simpsons_images\Kearney_Zzyzwicz.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Kearney_Zzyzwicz.png
165.0,Lenny Leonard,https://simpsons.fandom.com/es/wiki/Lenny_Leonard,simpsons_images\Lenny_Leonard.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Lenny_Leonard.png
91.0,Lou,https://simpsons.fandom.com/es/wiki/Lou,simpsons_images\Lou.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Lou.png
,Maria Quimby,https://simpsons.fandom.com/es/wiki/Maria_Quimby,simpsons_images\Maria_Quimby.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Maria_Quimby.png
,Melvin Van Horne,https://simpsons.fandom.com/es/wiki/Melvin_Van_Horne,simpsons_images\Melvin_Van_Horne.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Melvin_Van_Horne.png
2660.0,Mrs. Muntz,https://simpsons.fandom.com/es/wiki/Mrs._Muntz,simpsons_images\Mrs._Muntz.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Mrs._Muntz.png
1508.0,Rich Texan,https://simpsons.fandom.com/es/wiki/Rich_Texan,simpsons_images\Rich_Texan.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Rich_Texan.png
,Scott Christian,https://simpsons.fandom.com/es/wiki/Scott_Christian,simpsons_images\Scott_Christian.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Scott_Christian.png
426.0,Troy McClure,https://simpsons.fandom.com/es/wiki/Troy_McClure,simpsons_images\Troy_McClure.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Troy_McClure.png
1875.0,Brandine Spuckler,https://simpsons.fandom.com/es/wiki/Brandine_Spuckler,simpsons_images\Brandine_Spuckler.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Brandine_Spuckler.png
,Charlie,https://simpsons.fandom.com/es/wiki/Charlie,simpsons_images\Charlie.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Charlie.png
1867.0,Disco Stu,https://simpsons.fandom.com/es/wiki/Disco_Stu,simpsons_images\Disco_Stu.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Disco_Stu.png
,Drederick Tatum,https://simpsons.fandom.com/es/wiki/Drederick_Tatum,simpsons_images\Drederick_Tatum.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Drederick_Tatum.png
464.0,Elizabeth Hoover,https://simpsons.fandom.com/es/wiki/Elizabeth_Hoover,simpsons_images\Elizabeth_Hoover.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Elizabeth_Hoover.png
1078.0,Gary Chalmers,https://simpsons.fandom.com/es/wiki/Gary_Chalmers,simpsons_images\Gary_Chalmers.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Gary_Chalmers.png
343.0,Itchy,https://simpsons.fandom.com/es/wiki/Itchy,simpsons_images\Itchy.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Itchy.png
144.0,Jimbo Jones,https://simpsons.fandom.com/es/wiki/Jimbo_Jones,simpsons_images\Jimbo_Jones.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Jimbo_Jones.png
211.0,Kent Brockman,https://simpsons.fandom.com/es/wiki/Kent_Brockman,simpsons_images\Kent_Brockman.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Kent_Brockman.png
,Lewis,https://simpsons.fandom.com/es/wiki/Lewis,simpsons_images\Lewis.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Lewis.png
591.0,Luann Van Houten,https://simpsons.fandom.com/es/wiki/Luann_Van_Houten,simpsons_images\Luann_Van_Houten.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Luann_Van_Houten.png
238.0,Marty,https://simpsons.fandom.com/es/wiki/Marty,simpsons_images\Marty.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Marty.png
,Michelle Kwan,https://simpsons.fandom.com/es/wiki/Michelle_Kwan,simpsons_images\Michelle_Kwan.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Michelle_Kwan.png
1452.0,Old Jewish Man,https://simpsons.fandom.com/es/wiki/Old_Jewish_Man,simpsons_images\Old_Jewish_Man.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Old_Jewish_Man.png
,Richard,https://simpsons.fandom.com/es/wiki/Richard,simpsons_images\Richard.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Richard.png
342.0,Scratchy,https://simpsons.fandom.com/es/wiki/Scratchy,simpsons_images\Scratchy.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Scratchy.png
192.0,Agnes Skinner,https://simpsons.fandom.com/es/wiki/Agnes_Skinner,simpsons_images\Agnes_Skinner.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Agnes_Skinner.png
908.0,Bumblebee Man,https://simpsons.fandom.com/es/wiki/Bumblebee_Man,simpsons_images\Bumblebee_Man.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Bumblebee_Man.png
3688.0,Cookie Kwan,https://simpsons.fandom.com/es/wiki/Cookie_Kwan,simpsons_images\Cookie_Kwan.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Cookie_Kwan.png
,Dooley Jaffee,https://simpsons.fandom.com/es/wiki/Dooley_Jaffee,simpsons_images\Dooley_Jaffee.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Dooley_Jaffee.png
2277.0,Duffman,https://simpsons.fandom.com/es/wiki/Duffman,simpsons_images\Duffman.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Duffman.png
568.0,Fat Tony,https://simpsons.fandom.com/es/wiki/Fat_Tony,simpsons_images\Fat_Tony.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Fat_Tony.png
963.0,Hans Moleman,https://simpsons.fandom.com/es/wiki/Hans_Moleman,simpsons_images\Hans_Moleman.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Hans_Moleman.png
,Jake the Barber,https://simpsons.fandom.com/es/wiki/Jake_the_Barber,simpsons_images\Jake_the_Barber.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Jake_the_Barber.png
240.0,Joe Quimby,https://simpsons.fandom.com/es/wiki/Joe_Quimby,simpsons_images\Joe_Quimby.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Joe_Quimby.png
,Lance Murdock,https://simpsons.fandom.com/es/wiki/Lance_Murdock,simpsons_images\Lance_Murdock.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Lance_Murdock.png
1435.0,Luigi Risotto,https://simpsons.fandom.com/es/wiki/Luigi_Risotto,simpsons_images\Luigi_Risotto.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Luigi_Risotto.png
308.0,Maude Flanders,https://simpsons.fandom.com/es/wiki/Maude_Flanders,simpsons_images\Maude_Flanders.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Maude_Flanders.png
,Mona Simpson,https://simpsons.fandom.com/es/wiki/Mona_Simpson,simpsons_images\Mona_Simpson.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Mona_Simpson.png
,Poochie,https://simpsons.fandom.com/es/wiki/Poochie,simpsons_images\Poochie.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Poochie.png
,Sam,https://simpsons.fandom.com/es/wiki/Sam,simpsons_images\Sam.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Sam.png
,Wendell Borton,https://simpsons.fandom.com/es/wiki/Wendell_Borton,simpsons_images\Wendell_Borton.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Wendell_Borton.png
,Bill Gates,https://simpsons.fandom.com/es/wiki/Bill_Gates,simpsons_images\Bill_Gates.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Bill_Gates.png
,Capital City Goofball,https://simpsons.fandom.com/es/wiki/Capital_City_Goofball,simpsons_images\Capital_City_Goofball.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Capital_City_Goofball.png
,Database,https://simpsons.fandom.com/es/wiki/Database,simpsons_images\Database.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Database.png
,Doug,https://simpsons.fandom.com/es/wiki/Doug,simpsons_images\Doug.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Doug.png
90.0,Eddie,https://simpsons.fandom.com/es/wiki/Eddie,simpsons_images\Eddie.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Eddie.png
,Fit Tony,https://simpsons.fandom.com/es/wiki/Fit_Tony,simpsons_images\Fit_Tony.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Fit_Tony.png
309.0,Helen Lovejoy,https://simpsons.fandom.com/es/wiki/Helen_Lovejoy,simpsons_images\Helen_Lovejoy.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Helen_Lovejoy.png
273.0,Jasper Beardley,https://simpsons.fandom.com/es/wiki/Jasper_Beardley,simpsons_images\Jasper_Beardley.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Jasper_Beardley.png
,Legs,https://simpsons.fandom.com/es/wiki/Legs,simpsons_images\Legs.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Legs.png
347.0,Lionel Hutz,https://simpsons.fandom.com/es/wiki/Lionel_Hutz,simpsons_images\Lionel_Hutz.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Lionel_Hutz.png
1975.0,Manjula Nahasapeemapetilon,https://simpsons.fandom.com/es/wiki/Manjula_Nahasapeemapetilon,simpsons_images\Manjula_Nahasapeemapetilon.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Manjula_Nahasapeemapetilon.png
,Mel Gibson,https://simpsons.fandom.com/es/wiki/Mel_Gibson,simpsons_images\Mel_Gibson.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Mel_Gibson.png
,Mr. Winfield,https://simpsons.fandom.com/es/wiki/Mr._Winfield,simpsons_images\Mr._Winfield.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Mr._Winfield.png
,Report Card,https://simpsons.fandom.com/es/wiki/Report_Card,simpsons_images\Report_Card.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Report_Card.png
,Sanjay Nahasapeemapetilon,https://simpsons.fandom.com/es/wiki/Sanjay_Nahasapeemapetilon,simpsons_images\Sanjay_Nahasapeemapetilon.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Sanjay_Nahasapeemapetilon.png
,Ãœter ZÃ¶rker,https://simpsons.fandom.com/es/wiki/%C3%9Cter_Z%C3%B6rker,simpsons_images\Ãœter_ZÃ¶rker.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Ãœter_ZÃ¶rker.png
4.0,janey,https://simpsons.fandom.com/es/wiki/Janey_Powell,simpsons_images\janey.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/janey.png
14.0,waylon smithers,https://simpsons.fandom.com/es/wiki/Waylon_Smithers_Jr.,simpsons_images\waylon_smithers.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/waylon_smithers.png
38.0,martin prince,https://simpsons.fandom.com/es/wiki/Martin_Prince,simpsons_images\martin_prince.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/martin_prince.png
54.0,sherri mackleberry,https://simpsons.fandom.com/es/wiki/Sherri_y_Terri,simpsons_images\sherri_mackleberry.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/sherri_mackleberry.png
55.0,terri mackleberry,https://simpsons.fandom.com/es/wiki/Sherri_y_Terri,simpsons_images\terri_mackleberry.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/terri_mackleberry.png
96.0,dr marvin monroe,https://simpsons.fandom.com/es/wiki/Marvin_Monroe,simpsons_images\dr_marvin_monroe.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/dr_marvin_monroe.png
112.0,jacqueline bouvier,https://simpsons.fandom.com/es/wiki/Jacqueline_Bouvier,simpsons_images\jacqueline_bouvier.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/jacqueline_bouvier.png
121.0,rod flanders,https://simpsons.fandom.com/es/wiki/Rod_Flanders,simpsons_images\rod_flanders.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/rod_flanders.png
124.0,salesman,,,
139.0,krusty the clown,https://simpsons.fandom.com/es/wiki/Krusty_the_Clown,simpsons_images\krusty_the_clown.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/krusty_the_clown.png
146.0,dolph,https://simpsons.fandom.com/es/wiki/Dolph_Starbeam,simpsons_images\dolph.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/dolph.png
153.0,sideshow bob,https://simpsons.fandom.com/es/wiki/Bob_Terwilliger,simpsons_images\Bob_Terwilliger.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/Bob_Terwilliger.png
191.0,krusty doll,,,
214.0,judge snyder,https://simpsons.fandom.com/es/wiki/Judge_Roy_Snyder,simpsons_images\judge_snyder.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/judge_snyder.png
353.0,larry,https://simpsons.fandom.com/es/wiki/Larry,simpsons_images\larry.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/larry.png
518.0,snake jailbird,https://simpsons.fandom.com/es/wiki/Snake,simpsons_images\snake_jailbird.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/snake_jailbird.png
570.0,louie,https://simpsons.fandom.com/es/wiki/Louie,simpsons_images\louie.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/louie.png
598.0,rabbi hyman krustofsky,https://simpsons.fandom.com/es/wiki/Hyman_Krustofsky,simpsons_images\rabbi_hyman_krustofsky.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/rabbi_hyman_krustofsky.png
626.0,lunchlady doris,https://simpsons.fandom.com/es/wiki/Doris_Freedman,simpsons_images\lunchlady_doris.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/lunchlady_doris.png
699.0,sideshow mel,https://simpsons.fandom.com/es/wiki/Melvin_Van_Horne,simpsons_images\sideshow_mel.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/sideshow_mel.png
801.0,comic book guy,https://simpsons.fandom.com/es/wiki/Jeff_Albertson,simpsons_images\comic_book_guy.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/comic_book_guy.png
1114.0,rainier wolfcastle,https://simpsons.fandom.com/es/wiki/Rainier_Wolfcastle,simpsons_images\rainier_wolfcastle.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/rainier_wolfcastle.png
2089.0,bernice hibbert,https://simpsons.fandom.com/es/wiki/Bernice_Hibbert,simpsons_images\bernice_hibbert.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/bernice_hibbert.png
2369.0,gil gunderson,https://simpsons.fandom.com/es/wiki/Gil_Gunderson,simpsons_images\gil_gunderson.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/gil_gunderson.png
3057.0,lindsay naegle,https://simpsons.fandom.com/es/wiki/Lindsey_Naegle,simpsons_images\lindsay_naegle.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/lindsay_naegle.png
5625.0,shauna chalmers,https://simpsons.fandom.com/es/wiki/Shauna_Chalmers,simpsons_images\shauna_chalmers.png,https://github.com/tomjarvisn/simpsons-viz/blob/main/simpsons_images/shauna_chalmers.png
